200.58.212.42;42742;4520 мс
89.248.244.182;8080;880 мс
90.178.157.55;60850;2740 мс
125.99.100.193;40390;2260 мс
176.37.50.238;47260;140 мс
154.72.202.62;53281;900 мс
188.130.240.17;41198;1040 мс
78.40.87.18;808;300 мс
212.164.208.73;57234;520 мс
94.199.2.133;8080;180 мс
87.103.234.116;3128;580 мс
109.74.135.246;48361;100 мс
46.165.19.207;60721;220 мс
37.28.181.177;45717;
188.234.214.20;43679;200 мс
195.246.125.130;60631;320 мс
77.247.209.222;40772;260 мс
176.215.255.190;32851;460 мс
188.227.49.101;61458;280 мс
81.163.62.221;50385;
37.18.39.39;8080;
89.207.92.146;37766;
194.67.37.90;3128;
213.234.31.127;8080;
188.225.9.121;8080;120 мс
103.50.154.4;38257;1360 мс
125.25.165.99;43428;1000 мс
31.128.14.182;43662;3980 мс
87.121.44.70;39482;400 мс
103.88.234.54;36928;1060 мс
212.115.238.222;8080;
139.59.99.63;3128;1520 мс
103.129.194.1;33691;2340 мс
95.80.252.189;52371;2400 мс
103.106.216.21;21913;1180 мс
109.69.209.75;59312;
139.59.64.9;3128;1400 мс
91.227.183.222;46651;
103.9.188.172;41380;1320 мс
176.122.122.198;37887;1440 мс
124.41.211.98;55352;960 мс
88.198.24.108;8080;
139.59.99.234;8080;1540 мс
139.59.64.9;8080;1420 мс
217.23.6.40;3128;
84.54.188.125;33555;4440 мс
195.29.103.116;32318;2540 мс
213.14.32.75;61581;4960 мс
45.123.42.146;60253;2780 мс
200.35.56.89;54570;920 мс
119.252.163.66;8080;2020 мс
154.117.155.42;61011;980 мс
189.51.101.126;39108;2480 мс
93.190.139.143;8080;
103.94.0.114;56091;
115.124.75.77;52928;
113.130.126.232;55360;1380 мс
1.20.101.77;44440;
62.122.201.246;60619;
139.59.109.156;8080;1560 мс
188.226.141.61;3128;
139.59.169.246;8080;560 мс
114.6.16.118;8080;3560 мс
210.211.17.98;51853;2920 мс
